date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:56	11972/11972	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2017:33:55%20GMT	https://rcafe.webflow.io/	C:/Users/dell/Desktop/barath/food13/rcafe.webflow.io/index.html	(from )
23:03:56	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:33:55%20GMT	https://rcafe.webflow.io/robots.txt		(from )
23:03:57	44957/44957	---M-Z	200	added ('OK')	text/css	etag:%221df5f4cf4517dd7d844eada5a62612da%22	https://daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/css/rcafe.webflow.c83f12f7b.css	C:/Users/dell/Desktop/barath/food13/daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/css/rcafe.webflow.c83f12f7b.css	(from https://rcafe.webflow.io/)
23:03:58	17698/17698	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/Users/dell/Desktop/barath/food13/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from https://rcafe.webflow.io/)
23:03:58	5267/5267	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a89f4997162bf61e019b926e08682bdf%22	https://daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	C:/Users/dell/Desktop/barath/food13/daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	(from https://rcafe.webflow.io/)
23:03:59	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://daks2k3a4ib2z.cloudfront.net/img/webclip.png	C:/Users/dell/Desktop/barath/food13/daks2k3a4ib2z.cloudfront.net/img/webclip.png	(from https://rcafe.webflow.io/)
23:03:59	783/783	---M--	200	added ('OK')	image/png	etag:%22938ea00499abc59b6b6e837bdb18f217%22	https://daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/5684260c0da46cd945aa0c23_separate_1.png	C:/Users/dell/Desktop/barath/food13/daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/5684260c0da46cd945aa0c23_separate_1.png	(from https://rcafe.webflow.io/)
23:03:59	783/783	---M--	200	added ('OK')	image/png	etag:%22aefbbda4baaf1004cca78d6493faba19%22	https://daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/54eb86a9d3c6af6c0902f14e_orn-1.png	C:/Users/dell/Desktop/barath/food13/daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/54eb86a9d3c6af6c0902f14e_orn-1.png	(from https://rcafe.webflow.io/)
23:04:00	165462/165462	---M--	200	added ('OK')	image/jpeg	etag:%2271cc3a851eeb6270956c4d6ebc9ae160%22	https://daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/54f0ea5e244f6b8d381b7db8_vertical-photo-1-682x1024.jpg	C:/Users/dell/Desktop/barath/food13/daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/54f0ea5e244f6b8d381b7db8_vertical-photo-1-682x1024.jpg	(from https://rcafe.webflow.io/)
23:04:00	209592/209592	---M--	200	added ('OK')	image/jpeg	etag:%22ad0aa116aa527f9391b5d506875f961e%22	https://daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/54f0ea7974244f7d696ff3b0_vertical-photo-2-682x1024.jpg	C:/Users/dell/Desktop/barath/food13/daks2k3a4ib2z.cloudfront.net/54eb7ec0d3c6af6c0902efd4/54f0ea7974244f7d696ff3b0_vertical-photo-2-682x1024.jpg	(from https://rcafe.webflow.io/)
